Timestamp (ms),X: (m/s^2),Y: (m/s^2),Z: (m/s^2)
77263,-0.562333,-9.612311,3.127531, 
77267,-0.567119,-9.629062,3.105995, 
77272,-0.583870,-9.669742,3.110780, 
77277,-0.526440,-9.652991,3.072494, 
77282,-0.564726,-9.648206,3.072494, 
77287,-0.536011,-9.700850,3.046172, 
77292,-0.588655,-9.703242,3.048565, 
77297,-0.516868,-9.657777,3.000707, 
77302,-0.495332,-9.681706,2.921741, 
77307,-0.526440,-9.727171,2.926527, 
77312,-0.540797,-9.722385,2.943277, 
77317,-0.528833,-9.698457,3.003100, 
77322,-0.502511,-9.722385,3.000707, 
77327,-0.490546,-9.724778,2.993528, 
77332,-0.519261,-9.688885,2.957634, 
77336,-0.543190,-9.710421,2.971992, 
77341,-0.509689,-9.708028,2.991135, 
77346,-0.540797,-9.681706,3.005492, 
77351,-0.526440,-9.705635,2.993528, 
77356,-0.603013,-9.650599,3.019850, 
77361,-0.524047,-9.645813,2.967206, 
77366,-0.591048,-9.641026,2.979171, 
77371,-0.631728,-9.676920,3.005492, 
77376,-0.605406,-9.703242,2.995921, 
77381,-0.524047,-9.679314,2.955241, 
77385,-0.531226,-9.657777,2.955241, 
77389,-0.526440,-9.686492,3.000707, 
77394,-0.595834,-9.708028,3.000707, 
77399,-0.579084,-9.691278,2.971992, 
77404,-0.574298,-9.703242,2.969599, 
77409,-0.536011,-9.674527,2.983956, 
77414,-0.571905,-9.645813,2.986349, 
77419,-0.586262,-9.674527,2.948063, 
77424,-0.626942,-9.676920,2.916955, 
77429,-0.603013,-9.662563,2.864311, 
77434,-0.595834,-9.633848,2.840382, 
77439,-0.583870,-9.619491,2.845168, 
77444,-0.571905,-9.657777,2.881061, 
77449,-0.660443,-9.660170,2.837989, 
77454,-0.660443,-9.712814,2.785345, 
77459,-0.703515,-9.674527,2.775773, 
77464,-0.674800,-9.652991,2.797310, 
77469,-0.672407,-9.607526,2.785345, 
77474,-0.679586,-9.669742,2.885847, 
77479,-0.720265,-9.676920,2.837989, 
77483,-0.710694,-9.652991,2.828417, 
77487,-0.684372,-9.669742,2.885847, 
77492,-0.713087,-9.672134,2.881061, 
77497,-0.777695,-9.686492,2.883454, 
77502,-0.727444,-9.660170,2.928920, 
77507,-0.725051,-9.655384,2.943277, 
77512,-0.806410,-9.614705,2.924134, 
77517,-0.796838,-9.614705,2.931312, 
77522,-0.792053,-9.600348,2.969599, 
77527,-0.806410,-9.619491,2.971992, 
77532,-0.859054,-9.631455,3.027029, 
77537,-0.849482,-9.540524,3.003100, 
77542,-0.854268,-9.566847,2.986349, 
77547,-0.897341,-9.535739,2.986349, 
77552,-0.899733,-9.521381,3.060529, 
77557,-0.918877,-9.557275,3.096423, 
77562,-0.926055,-9.571632,3.065315, 
77567,-0.935627,-9.538132,3.048565, 
77572,-0.954770,-9.507024,2.979171, 
77576,-0.983485,-9.499846,3.074887, 
77580,-1.016986,-9.499846,2.991135, 
77585,-1.009807,-9.459166,3.007885, 
77590,-1.100738,-9.523774,2.943277, 
77595,-1.062451,-9.516596,2.936098, 
77600,-1.067237,-9.454380,2.928920, 
77605,-1.081594,-9.406522,2.976778, 
77610,-1.064844,-9.459166,2.974385, 
77615,-1.081594,-9.394557,3.046172, 
77620,-1.098345,-9.449594,3.031815, 
77624,-1.115095,-9.396950,3.034207, 
77629,-1.129453,-9.394557,3.029422, 
77634,-1.153382,-9.392164,3.065315, 
77639,-1.141417,-9.363449,3.091637, 
77644,-1.131845,-9.368236,3.070101, 
77649,-1.141417,-9.341913,3.113173, 
